subject,trial,null,pic_id,act_x,act_y,est_x,est_y,correct,distance,rt,day,condition,act_quad,est_quad,quad_diff
VRTag_021,10,1,21,618.4304,578.4926,836,567,0,217.8729,2.866598,1,video,3,3,0
VRTag_021,11,1,47,1425.825,858.4601,980,125,0,858.3258,3.299929,1,video,4,1,3
VRTag_021,12,1,32,1362.508,127.5496,970,672,0,671.1845,4.083186,1,video,1,1,0
VRTag_021,13,1,20,846.6242,769.4664,1332,233,0,723.4541,2.483286,1,video,4,1,3
VRTag_021,14,1,15,857.477,576.0529,824,889,0,314.7325,2.583243,1,video,1,4,-3
VRTag_021,15,1,12,779.2618,172.4695,823,668,0,497.457,3.633251,1,video,1,1,0
VRTag_021,16,1,26,1022.038,768.9908,956,355,0,419.2248,1.766525,1,video,4,1,3
VRTag_021,17,1,33,1202.472,229.6922,1075,643,0,432.5187,3.149912,1,video,1,1,0
VRTag_021,18,1,1,1094.063,743.4594,719,334,0,555.2742,2.216612,1,video,1,1,0
VRTag_021,19,1,14,473.7271,847.0061,1358,772,0,887.4483,3.833305,1,video,2,2,0
VRTag_021,20,1,11,1372.925,970.4169,572,885,0,805.467,2.099956,1,video,4,4,0
VRTag_021,21,1,41,1221,138.1242,1376,922,0,799.0533,5.216593,1,video,1,4,-3
VRTag_021,22,1,46,693.0786,257.0525,1383,531,0,742.3199,2.266589,1,video,3,3,0
VRTag_021,23,1,34,1166.414,544.9712,1084,451,1,124.9905,2.433275,1,video,1,1,0
VRTag_021,24,1,6,1386.469,536.7868,1374,860,0,323.4537,2.183236,1,video,1,4,-3
VRTag_022,1,1,5,492.1364,362.5809,1125,646,0,693.4283,3.356844,1,video,3,3,0
VRTag_022,2,1,27,482.7627,392.6963,833,224,0,388.7475,2.916561,1,video,3,3,0
VRTag_022,3,1,35,1269.048,648.3356,1121,83,0,584.3994,1.766492,1,video,1,1,0
VRTag_022,4,1,43,517.8303,446.6641,588,548,1,123.2589,5.383268,1,video,3,3,0
VRTag_022,5,1,3,465.545,525.5587,1221,438,0,760.5122,4.733188,1,video,3,3,0
VRTag_022,6,1,8,469.5059,524.1019,841,550,0,372.3958,1.466609,1,video,3,3,0
VRTag_022,7,1,29,1078.158,246.4261,1106,797,0,551.2774,2.333253,1,video,1,4,-3
VRTag_022,8,1,28,579.7444,776.7424,815,881,0,257.3225,2.149914,1,video,2,2,0
VRTag_022,9,1,42,685.3369,805.9018,1364,438,0,771.9685,3.283235,1,video,2,3,-1
VRTag_022,10,1,24,951.1266,630.0339,1080,772,1,191.7361,2.583289,1,video,1,4,-3
VRTag_022,11,1,2,1356.721,571.367,1100,291,0,380.1464,2.116589,1,video,1,1,0
VRTag_022,12,1,9,757.7571,558.8535,724,503,1,65.26222,4.283267,1,video,1,1,0
VRTag_022,13,1,44,1229.107,750.2853,1213,661,1,90.72649,4.399907,1,video,4,1,3
VRTag_022,14,1,37,482.644,855.4572,1100,332,0,809.4046,1.633302,1,video,2,3,-1
VRTag_022,15,1,23,1125.774,418.4171,1480,737,0,476.4151,2.299942,1,video,1,1,0
VRTag_022,16,1,25,1376.093,522.5093,550,630,0,833.0574,4.866564,1,video,1,1,0
VRTag_022,17,1,4,891.7551,855.8983,1166,264,0,652.3449,2.066637,1,video,4,1,3
VRTag_022,18,1,10,1192.417,643.43,445,96,0,926.4515,3.299935,1,video,1,1,0
VRTag_022,19,1,39,775.6365,462.8696,1004,500,0,231.3624,4.499931,1,video,1,1,0
VRTag_022,20,1,7,480.9168,398.0941,1144,258,0,677.721,2.216604,1,video,3,3,0
VRTag_022,21,1,18,934.6347,564.4337,709,754,0,294.6971,1.799898,1,video,1,4,-3
VRTag_022,22,1,30,454.0936,119.2702,903,910,0,909.2692,2.916518,1,video,3,2,1
VRTag_022,23,1,38,1241.721,757.8504,1133,40,0,726.0367,1.866595,1,video,4,1,3
VRTag_022,24,1,36,924.9272,929.6449,1086,321,0,629.5975,1.466598,1,video,4,1,3
VRTag_024,1,1,2,1209.538,514.5188,543,375,0,680.9837,2.557032,1,video,1,1,0
VRTag_024,2,1,43,994.4905,474.1157,960,185,0,291.1658,2.216642,1,video,1,1,0
VRTag_024,3,1,25,685.9925,536.4507,1321,186,0,725.2932,7.849791,1,video,3,3,0
VRTag_024,4,1,9,1459.221,185.8176,1355,536,0,365.3625,2.033262,1,video,1,1,0
VRTag_024,5,1,10,506.1528,184.1148,1402,202,0,896.0257,1.983319,1,video,3,3,0
VRTag_024,6,1,38,474.1576,679.7735,1056,272,0,710.5067,2.733285,1,video,3,3,0
VRTag_024,7,1,30,706.905,467.7827,1395,704,0,727.5118,3.73325,1,video,3,3,0
VRTag_024,8,1,28,572.4021,384.9604,1504,285,0,936.9454,3.36658,1,video,3,3,0
VRTag_024,9,1,36,1427.843,601.3958,655,843,0,809.7277,7.216583,1,video,1,4,-3
VRTag_024,10,1,37,609.5662,334.1655,783,852,0,546.106,2.499884,1,video,3,2,1
VRTag_024,11,1,29,481.2692,287.6595,1527,528,0,1072.994,2.56657,1,video,3,3,0
VRTag_024,12,1,23,593.436,273.1767,537,883,0,612.4292,2.499904,1,video,3,2,1
VRTag_024,13,1,3,1283.902,496.4508,1120,171,0,364.3927,2.333256,1,video,1,1,0
VRTag_024,14,1,4,1371.15,743.4999,1427,809,1,86.07805,4.866574,1,video,1,4,-3
